date,US_Stocks,Intl_Stocks,Bonds,Gold,Crypto,Real_Estate,Cash
1/1/2005,-0.005324111,0.004090819,-0.001064928,-0.002126716,-0.012151094,-0.00947968,0.001024228
1/2/2005,-9.74E-05,-0.004504048,0.001158845,-0.004614222,-0.021083393,-0.0028087,-0.001151371
1/3/2005,0.020695135019599957,0.018417920848615182,-0.003655265,0.012921996711271139,0.03922278,0.010968930991157057,0.001047912
1/4/2005,0.001984699,-0.002970322,-0.003739572,0.009298439,0.006570814,0.006010053,0.000320301
1/5/2005,0.002484735,0.014338999133842302,-0.00332528,0.009295125,0.013800632000067219,-0.000547704,0.000615429
1/6/2005,0.010528878133943695,0.000558411,0.003583106,0.013087335382441846,0.031853467,0.015059841159133901,0.000351105
1/7/2005,0.005475045,-0.002939566,0.004610306,0.010080522876331216,0.001688957,0.005512641,0.000433076
1/8/2005,0.012336984427766484,0.010788971340874802,0.004469388,0.003988126,0.045900533,0.014471417804308719,0.00078449
1/9/2005,0.009128724,0.014253486884482964,-3.59E-05,0.002252629,0.019338363,0.001164801,-0.000585928
1/10/2005,0.003000978,0.008471413,0.001055942,-0.009082257,0.035048975952047784,0.005308172,-0.000350328
1/11/2005,-0.005248232,-0.011235699,0.001356289,0.00175896,0.001243432,-0.024449474,0.000181573
1/12/2005,-0.000131128,-0.002304422,0.005866669,0.013372170749069793,0.008866233,0.006318116,-5.27E-05
1/13/2005,0.012070133430962972,0.013792214504150585,0.002663163,-0.002581491,0.017323503,0.003198107,0.000168122
1/14/2005,0.002673284,-0.007152885,0.001568303,0.002252734,-0.02752756,-0.005358331,0.000257059
1/15/2005,0.003211444,-0.002827902,-0.002300629,0.00987103,-0.000957591,0.003975997,6.305023531372395e-06
1/16/2005,-0.013902617,-0.015913825,-0.008796918,-0.004481216,0.002314886,-0.012557805,-9.92E-05
1/17/2005,-0.014974015,-0.01771512,-0.006433361,-0.002351562,0.014373879006696398,-0.012914921,0.000694989
1/18/2005,-0.009244257,-0.010143848,0.001156006,0.006995464,-0.012695827,-0.017062422,0.001513577
1/19/2005,0.019549430576997928,0.009793004,0.001402309,0.002897722,0.021096920806452233,0.00547598,-0.000535282
1/20/2005,0.005865799,0.002286613,0.003679131,-0.010811298,-0.016713711,0.001323779,-0.00073194
1/21/2005,-0.01189747,-0.013751673,0.001890045,0.008413695,0.003454913,-0.005122459,-0.000594372
1/22/2005,0.006967064,0.010353520138216442,-0.002319808,7.426607894305456e-05,0.036205467374910955,0.00573256,0.000210311
1/23/2005,0.006831983,0.00715955,0.002786025,-0.010079706,-0.01103132,-0.006710892,-0.000571414
1/24/2005,-0.017751987,-0.012779785,0.001708833,0.003405247,-0.011041329,-0.011341922,0.001313709
1/25/2005,0.008469829,0.002902806,0.002420696,0.006713429,0.002016456,0.009479661,0.000328637
1/26/2005,-0.015892313,-0.002443745,0.001938085,-0.014101842,-0.019043351,0.003326849,-0.000546453
1/27/2005,0.002962605,0.009337017,-0.000158625,0.00384098,0.030040344,0.003748849,-0.000403982
1/28/2005,0.020894144,0.018378669182279168,0.00168633,-0.000457868,0.034760522,0.005344647,0.000359435
1/29/2005,0.008366835,0.002884418,0.002549768,-0.001029601,0.023192517,0.010249576863509819,0.000795495
1/30/2005,-0.00462887,0.001850805,0.002898216,0.007347772,-0.033263165,0.001701597,0.002549288
1/31/2005,-0.010851508,-0.009248735,0.001418847,-0.00813447,-0.006179903,-0.013808655,-0.000437875
2/1/2005,0.006910012,0.013429204278648904,0.002908595,0.006439419,0.003597846,-0.011245963,-0.000830421
2/2/2005,0.003486706,-0.008769611,0.001942099,-0.002563113,0.018740254544111924,-0.000822217,-0.000352265
2/3/2005,-0.00958993,0.00640436,-0.007517426,0.00746858,-0.004017001,-0.005801671,0.000130059
2/4/2005,-0.001339461,-0.00168839,0.002920599,0.004714835,0.022329751479674333,0.003306263,-0.000574264
2/5/2005,-0.000165324,0.013355839095736106,-0.003985188,0.008968455,0.006209617,0.000604526,0.00065543
2/6/2005,-0.028495961,-0.029994322,-0.003997269,0.002680433,-0.044599479,-0.009228348,0.000284019
2/7/2005,0.011136477108241657,-0.014254111,0.000205204,-0.004000138,-0.024582643,0.008815443,-0.000760345
2/8/2005,-0.011308551,-0.002266577,-0.004371338,0.00165776,-0.047830359,0.002690925,0.000702858
2/9/2005,0.008218347,0.0085486,0.001237552,-0.000392657,-0.005677594,0.001525564,-0.000157625
2/10/2005,-0.008366502,-0.004943424,-0.007642617,-0.015719979,0.001917997,0.006388717,-0.000255473
2/11/2005,-0.004146682,-0.009692467,-0.002392801,0.00286284,-0.012051442,-0.004606608,0.000581812
2/12/2005,-0.002040425,0.006123899,0.002798259,-0.005591872,-0.01210147,0.001733141,-0.000450349
2/13/2005,0.000648585,0.00084781,0.004268159,-0.004413444,0.019099114742021157,-0.000588823,-0.000241542
2/14/2005,-0.009326315,0.001760335,0.002956918,0.002094311,-0.013518159,-0.00316623,0.000944597
2/15/2005,-0.004260103,-0.004455183,-0.000139301,0.001710502,0.004458888,-0.004420919,0.000464947
2/16/2005,-0.007247247,-0.01369348,0.001712998,0.001843395,0.0337474,0.004879736,0.000535402
2/17/2005,-0.003202708,-0.007639282,0.003559416,0.005686395,-0.014668862,-0.004994767,7.256162077941202e-05
2/18/2005,0.01418472,0.007661964,0.001698444,-0.000721115,0.018680129,0.005524218,0.000258072
2/19/2005,0.016836762928575336,0.001390042,-0.001654775,-0.000814959,0.009676522,0.006035552,-9.09E-05
2/20/2005,-0.00958024,-0.012402759,-0.005082614,-0.009059873,0.002045091,-0.009373896,-7.27E-05
2/21/2005,-0.006917926,0.002711476,-0.000369679,0.005477437,0.010122875129114084,0.00501928,0.00036845
